ipc_section,ipc_name,bns_section,bns_name,category,note
299,Culpable Homicide,100,Culpable Homicide,Life,
300,Murder,101,Murder,Life,
302,Punishment for Murder,103,Punishment for Murder,Life,New: group murder by caste/religion → death/life
303,Murder by Life Convict,104,Murder by Life Convict,Life,Mandatory death penalty removed
304,Culpable Homicide Not Murder,105,Culpable Homicide Not Amounting to Murder,Life,
304A,Death by Negligence,106,Causing Death by Negligence,Life,New: hit-and-run clause added (10 yr)
304B,Dowry Death,80,Dowry Death,Women,
305,Abetment of Suicide of Child/Insane,108(2),Abetment of Suicide of Child or Person of Unsound Mind,Life,
306,Abetment of Suicide,108,Abetment of Suicide,Life,
307,Attempt to Murder,109,Attempt to Murder,Life,
308,Attempt to Commit Culpable Homicide,110,Attempt to Commit Culpable Homicide,Life,
309,Attempt to Commit Suicide,REPEALED,Decriminalized,Life,Attempt to suicide decriminalized in BNS
310,Thug,REPEALED,Covered under Organised Crime,Life,Replaced by BNS 111
311,Punishment of Thug,REPEALED,Covered under Organised Crime,Life,Replaced by BNS 111
312,Causing Miscarriage,88,Causing Miscarriage,Women,
313,Miscarriage without Consent,89,Miscarriage without Consent,Women,
314,Death of Woman from Miscarriage,90,Death Caused in Miscarriage,Women,
315,Preventing Child from Being Born Alive,91,Act to Prevent Child Being Born Alive,Women,
316,Causing Death of Quick Unborn Child,92,Causing Death of Quick Unborn Child,Women,
317,Exposure/Abandonment of Child,93,Exposure and Abandonment of Child,Women,
318,Concealment of Birth,94,Concealment of Birth by Secret Disposal of Dead Body,Women,
319,Hurt,114,Hurt,Hurt,
320,Grievous Hurt,116,Grievous Hurt,Hurt,
321,Voluntarily Causing Hurt,114(1),Voluntarily Causing Hurt,Hurt,
322,Voluntarily Causing Grievous Hurt,116(1),Voluntarily Causing Grievous Hurt,Hurt,
323,Voluntarily Causing Hurt,115,Voluntarily Causing Hurt,Hurt,
324,Voluntarily Causing Hurt by Dangerous Weapon,117,Voluntarily Causing Hurt by Dangerous Weapons,Hurt,
325,Voluntarily Causing Grievous Hurt,117,Voluntarily Causing Grievous Hurt,Hurt,
326,Hurt by Dangerous Weapon,118,Hurt by Dangerous Weapon,Hurt,
